row ID	row m/z	row retention time	Compound	C1-12H	C2-12H	C3-12H	C4-12H	C1-24H	C2-24H	C3-24H	C4-24H	C1-36H	C2-36H	C3-36H	C4-36H	C1-48H	C2-48H	C3-48H	C4-48H	C1-60H	C2-60H	C3-60H	C4-60H	C1-72H	C2-72H	C3-72H	C4-72H	M1-12H	M2-12H	M3-12H	M4-12H	M1-24H	M2-24H	M3-24H	M4-24H	M1-36H	M2-36H	M3-36H	M4-36H	M1-48H	M2-48H	M3-48H	M4-48H	M1-60H	M2-60H	M3-60H	M4-60H	M1-72H	M2-72H	M3-72H	M4-72H
2095	370.3307384	11.852467	N-Stearoyl GABA	0	0	0	0	0	0	0	0	12609.293	125083.09	34347.254	6851.426	46434.812	45833.14	27381.268	38002.875	14566.232	18721.352	112700.52	63750.883	9827.791	0	26306.95	30354.488	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2097	339.3249129	11.864979	Eruric acid	64722.027	94148.95	99063.81	70962.24	61065.86	77260.33	81768.9	56608.125	77986.47	77897.47	82798.08	73016.86	85013.27	64742.37	79892.08	50420.65	33689.484	86145.33	63698.367	90789.06	91627.33	80263.53	165463.9	93020.13	121579.89	82433.58	117517.86	155058.72	70489.16	54275.207	46561.105	42997.24	51415.96	52742.13	76154.93	40813.434	33670.355	55939.48	54431.723	33735.15	76385.26	65833.64	80732.11	86039.46	53489.65	84635.234	56516.676	72409.14
2101	404.3151223	11.980117	N-palmitoyl phenylalanine	0	0	0	0	0	0	0	0	0	0	0	0	23472.273	41329.09	40656.086	1886.6713	21459.229	7014.1235	414976.28	105341.695	59602.234	9680.465	77664.69	191019.72	0	0	0	0	0	0	0	0	0	0	0	0	8768.295	0	0	0	15870.247	22751.684	22252.275	14008.059	65501.42	53480.152	30290.52	75098.24
2104	352.3201806	11.992776	Anandamide (20:2, n-6)	0	0	0	0	0	0	0	0	0	13616.559	0	0	10835.444	47202.02	51564.81	15141.641	10883.955	12019.656	32588.062	55143.21	7353.4297	0	25735.562	30515.742	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2106	310.309658	12.008256	Oleoyl Ethyl Amide	0	0	0	0	0	0	0	0	0	14667.595	3759.9353	0	11340.676	33092.258	12368.106	16984.39	16621.812	0	361566.44	38354.086	0	0	122584.09	88772.12	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2108	370.330757	12.065269	N-palmitoyl leucine	0	0	0	0	0	0	0	0	0	14840.6045	0	0	25555.365	49674.207	52395.21	9807.854	24248.277	7262.325	774648.2	152296.31	46378.902	7012.5874	66290.57	215179.58	0	0	0	0	0	0	0	0	0	0	0	0	4086.064	0	0	0	10949.057	15580.477	16230.5205	9632.203	52366.35	49370.05	16788.547	58622.438
2109	393.2967776	12.136061	N-(3-(Decylamino)propyl)-D-gluconamide	0	0	0	0	0	0	0	0	0	0	0	0	1853.2155	21569.26	17128.998	4458.9697	0	0	52461.727	31305.082	0	30100.896	25529.727	34600.992	0	0	0	0	0	0	0	0	24995.746	6075.919	18114.533	1867.5884	15465.396	20075.143	41438.14	24950.479	67883.84	37966.95	57236.87	74333.664	57205.28	41557.137	49776.793	56794.457
2116	355.3199016	12.239107	(E,2S)-2-hexyl-5-hydroxyhexadec-3-enoic acid	0	0	0	0	25386.97	15697.806	20170.922	12484.084	39735.824	66436.38	73061.05	61927.504	110456.06	76078.414	86614.74	33184.953	38249.938	100960.8	63003.383	77297.33	84568.375	42924.71	165491.4	103920.71	0	0	0	0	21044.102	14711.969	19945.746	12714.726	20949.443	25918.072	36852.137	17607.562	27852.494	33725.785	46178.52	17262.361	48720.13	31298.28	51869.44	41791.6	28610.457	33802.293	34128.566	53368.67
2138	780.54998	12.284883	PC(18:2(9Z,12Z)/18:3(9Z,12Z,15Z))	0	7699.4175	46889.055	0	26939.736	14521.166	25508.809	18056.605	2023.164	6282.6445	110007.45	2269.8022	28028.842	0	5273.787	15366.898	0	2327.817	0	18214.984	0	0	23982.764	18352.809	2153.6914	0	0	0	0	72350.58	70678.766	39089.586	8732.251	37396.734	0	17896.285	33329.79	23400.49	21760.758	47338.426	75051.72	31415.5	16321.988	0	0	2043.5759	27706.225	23450.217
2140	430.3311395	12.298545	N-oleoyl phenylalanine	0	0	0	0	0	0	0	0	0	4108.21	5420.594	0	58712.49	90120.88	88705.625	9563.564	28531.621	21902.979	830257.6	241266.27	141584.1	18581.33	265224.4	432481.03	0	0	0	0	0	0	0	0	0	0	0	0	7608.382	0	4169.667	0	30556.215	34719.19	45554	24718.938	109735.16	115949.914	58496.723	177882.9
