	Metabolite	r_Pearson	p_Pearson	r_Spearman	p_Spearman	p_Pearson_adj	p_Spearman_adj
152	Linoleamidopropyl Dimethylamine	0.6224487398954472	5.0464826311232996e-05	0.6703034811984885	7.734782022618092e-06	0.00264579875088893	5.913885421460084e-05
339	Icosadienoic acid	0.29448637822500884	0.08125392078499931	0.6689233739215694	8.203227786586725e-06	0.2424405603910142	6.144050199341486e-05
327	1-(2-chlorobenzyl)-N-[3-(morpholin-4-yl)propyl]piperidine-4-carboxamide	0.3575697430431576	0.03226956557187618	0.6647618788578616	9.776689191456428e-06	0.1622319255462816	7.176089866529018e-05
4	Cholinum	0.30424746116672774	0.07121557621103565	0.6622413289280473	1.0858695957107328e-05	0.22800658163435658	7.814002776977234e-05
346	Ercalcitriol	0.40565701786834046	0.014103740179798662	0.6607185820955034	1.156410268374835e-05	0.10511262748532131	8.161587855645469e-05
358	Icosanamide	0.4523552348470216	0.005606596022948591	0.6591901369077457	1.2313864507364386e-05	0.057038040302923206	8.526770328684396e-05
23	D-pipecolate	0.5620325253524464	0.0003608443490665906	0.6580329313319939	1.2910657425821336e-05	0.010186913546726057	8.774465324585981e-05
55	Methyl L-leucinate	0.23239584146817813	0.17259151850272442	0.656767877595495	1.3593090121178385e-05	0.3497625453549038	9.070298317222668e-05
89	(1-(3-Oxo-2-aza-spiro(4.5)dec-2-ylmethyl)-cyclohexyl)-acetic acid	0.2781891185678946	0.10041615811861301	0.6551152849070602	1.4533999466525672e-05	0.27516758775867123	9.524960364669503e-05
10	Threonin	0.28113801362052676	0.09671571797791746	0.6538988576716913	1.5264010835897834e-05	0.2740893929597672	9.827880661007905e-05
160	 LysoPE(16:1(9Z)/0:0)	0.7761996046514166	2.656966987907822e-08	0.6512771986642844	1.6951963538913825e-05	9.751068845621707e-06	0.00010325391875762729
60	Isovalerylcarnitine	0.505673167355243	0.0016546819839251524	0.6493660798752285	1.8287478799034806e-05	0.024290731524021236	0.00010325391875762729
283	n-linoleoyl leucine	0.2750745055617588	0.10444055548254794	0.6515518330319789	1.676750895251407e-05	0.27575312131003665	0.00010325391875762729
231	Linoleoyl glycine	0.24667857810693627	0.14695835967448165	0.6496066426122773	1.811426814161755e-05	0.33188936513527006	0.00010325391875762729
262	4-[(E)-4-(4-ethenylcyclohexyl)but-1-enyl]cyclohexan-1-one	0.2802365270634567	0.09783572337255995	0.6497770877270344	1.7992447553440065e-05	0.2740893929597672	0.00010325391875762729
91	 O-octanoylcarnitine	0.1543685077557437	0.36869077320053556	0.650211712311218	1.7685174620662478e-05	0.5086823825736713	0.00010325391875762729
196	 Linoleic acid	0.5104011355108312	0.0014706745472737794	0.6511215192433426	1.7057340806196902e-05	0.024290731524021236	0.00010325391875762729
329	8-tridecenoic acid	0.3223816583418067	0.05516508015461498	0.6496385792789758	1.8091385455172646e-05	0.2065875960892214	0.00010325391875762729
274	N-linoleoyl valine	0.2532213631266978	0.1361936700441483	0.6482294820385816	1.9126387449397143e-05	0.3205682956389309	0.00010635430596861746
243	2,4-tetradecadienoic acid isobutyl amide	0.45583827854583264	0.005206789974916289	0.6469853688265398	2.008460975240094e-05	0.0564413036781168	0.00010896292725078847
108	Soyasaponin I	0.3474243920158209	0.03788036083353244	0.6468527083039181	2.0189316220854538e-05	0.17642807124093932	0.00010896292725078847
52	Indole	0.34326760367455555	0.040396950630500805	0.6451121132059977	2.1609833585601766e-05	0.18080098635846092	0.00011202137240768084
323	N-(octylideneamino)dodecanamide	0.39075921046780937	0.018454944585922468	0.6450386812110765	2.1671709648352424e-05	0.1151143813740357	0.00011202137240768084
321	Methyl retinoate	0.04959223670160485	0.7739370077955234	0.6453374448338205	2.1420962203913183e-05	0.8555267525932443	0.00011202137240768084
303	8Z-heptadecenoic acid	0.20026319575795548	0.24156537415312185	0.6444586748952191	2.2166122922487596e-05	0.3905484242916111	0.00011298565434101315
142	9-hydroxy-10E,12Z,15Z-octadecatrienoic acid	0.17717445042518593	0.3012592795650263	0.6435589126809179	2.295339548852353e-05	0.43855789216861873	0.00011539583759298816
28	Xanthine	0.14160671103543143	0.4100427794542208	0.6419746584473048	2.4401517849408543e-05	0.5552977861981514	0.00012101833852341804
310	N-palmitoyl phenylalanine	0.3159472025350254	0.06049255366443466	0.6396233843338965	2.67039369634122e-05	0.21754215620846318	0.00012895190612595103
30	Hypoxanthine	0.19579510911566791	0.2524453118416731	0.6398735965169536	2.64498835175698e-05	0.3969531494454066	0.00012895190612595103
149	9,12-Octadecadienamide, N-[2-(dimethylamino)ethyl]-, (9Z,12Z)-	0.43611209787349114	0.007839364940732839	0.6391402620634038	2.7200748728093394e-05	0.06591324031167294	0.0001296451270546789
165	9-Octadecenamide, N-[3-(methylamino)propyl]-, (Z)-	0.45605985268273225	0.005182210203931742	0.6373468203491854	2.911920407060946e-05	0.0564413036781168	0.00013645565742212169
95	alfa-Cyperone	0.3033439884971286	0.0721017982392176	0.6371173824974329	2.937328865489813e-05	0.22800658163435658	0.00013645565742212169
328	Dihydro-alpha-ionone	0.31983384828747874	0.057228033429270984	0.6363725270167954	3.0212075909441024e-05	0.2100268826854245	0.0001385978982345607
26	Nicotinate	0.5529088543724517	0.0004703212437105598	0.6348171379621718	3.2034020750704376e-05	0.012329135460126818	0.00014514179772232724
143	6-amino-2-[[(9Z,12Z)-octadeca-9,12-dienoyl]amino]hexanoic Acid	0.2605256819143435	0.12487559985379416	0.6332636278621491	3.3952604268747706e-05	0.3117642526962072	0.00015012778032084828
330	gamma-Dodecalactone	0.3111803555014002	0.06469568243054796	0.633321334996494	3.3879514490609226e-05	0.22399354200010474	0.00015012778032084828
175	1-(9Z,12Z-octadecadienoyl)-glycero-3-phosphoserine	0.3864707652886833	0.019897681276425806	0.6314468732391908	3.6327979154743844e-05	0.12035754657578611	0.00015871867083084513
158	N-oleoyl histidine	0.2583594434649045	0.12815647811696704	0.6290273944439604	3.972500773059636e-05	0.3135561831261794	0.00016952416089684725
244	(11E)-1-azacyclotridec-11-en-2-one	0.4606539705301067	0.004694648913187919	0.6292672656456922	3.937582390812222e-05	0.0564413036781168	0.00016952416089684725
295	Heptadecanamide	0.4439670766599704	0.006679480939807725	0.6281422362925132	4.103793914671089e-05	0.05896647050702252	0.00017075652082347296
215	Linoleic acid amide	0.4048289293892255	0.014320521455765848	0.6283704760789777	4.0695691669430975e-05	0.10511262748532131	0.00017075652082347296
150	N-palmitoyl histidine	0.253177801526346	0.13626336272390524	0.627591258840207	4.187489611474814e-05	0.3205682956389309	0.00017075652082347296
331	Myristoleic acid	0.3321750823685996	0.0477802359894969	0.6277495930463781	4.163281220303778e-05	0.19598487377240045	0.00017075652082347296
288	Dodecadienoic acid	0.2807206657514178	0.09723300655219808	0.6250963825939421	4.586144502216778e-05	0.2740893929597672	0.00018383002576267512
197	9,12-Octadecadiynoicacid	0.3253022679408519	0.052873559658870924	0.6249637220713202	4.608273125385861e-05	0.20562387840510657	0.00018383002576267512
242	N-prop-2-enylnonanamide	0.44728972319209054	0.006235111255446084	0.6231408885966185	4.922273231388303e-05	0.05867399566022341	0.00019406438438941608
245	Azacyclododecan-2-one	0.450574439101578	0.005821029220537265	0.6226002023592244	5.019062282553987e-05	0.057038040302923206	0.00019406438438941608
141	 Phytosphingosine	0.36355159534132986	0.029293233470148606	0.6225758326641279	5.023464991006683e-05	0.1564108916339933	0.00019406438438941608
374	 Docosanamide	0.44593456378628654	0.0064131823066490646	0.6213818879605315	5.24349170627146e-05	0.058840947663505165	0.00020045431835433603
132	Dehydrophytosphingosine	0.22487943319914216	0.18729552714993192	0.620453264302179	5.420606220163478e-05	0.3497625453549038	0.00020094570533333298
86	N-acetyl-L-phenylalanine	0.07603349424942077	0.6594013705910755	0.620711490263689	5.370820427394265e-05	0.7731639073703664	0.00020094570533333298
286	13-Tetradecynoic acid	0.27814689865914977	0.10046990942687178	0.620453264302179	5.420606220163478e-05	0.27516758775867123	0.00020094570533333298
284	Oleamide	0.35765309839175113	0.03222645410204746	0.6191266590759609	5.683012463723721e-05	0.1622319255462816	0.0002065015419986738
63	Ethyl 2-amino-4-methylpentanoate	0.17305353901168014	0.31282206172847526	0.6192209133755118	5.663996745142913e-05	0.4502184182523546	0.0002065015419986738
227	Palmitoleamide	0.42918707508231135	0.009000736919493097	0.6182747124600722	5.8575272409991626e-05	0.07028234998838226	0.00021075612720065614
159	Palmitoylputrescine	0.38601507935148277	0.02005636286824524	0.6163650315156858	6.2664265696011e-05	0.12035754657578611	0.0002220474105105133
305	N-(2-hydroxyethyl)octadecanamide	0.2647515052002085	0.11865599274569927	0.6162477844388672	6.292351687491385e-05	0.30001739310409276	0.0002220474105105133
224	Linoleoyl ethanolamide (Linoleamide MEA)	0.27508079703928223	0.10443230481192073	0.6159428065330376	6.360241236782074e-05	0.27575312131003665	0.00022230557465704963
263	 Oleoyl ethanolamide	0.32410472282400266	0.05380379282781699	0.6152795039199286	6.510184634451056e-05	0.20562387840510657	0.0002253997887588243
